icon,name,description,parent,requirements,namespace,rewards
,Minecraft,The heart and story of the game,—,Have a crafting table in your inventory.,story/root,-
,Stone Age,Mine stone with your new pickaxe,Minecraft,"Have cobblestone or blackstone in your inventory, both in the #stone_tool_materials tag.",story/mine_stone,-
,Getting an Upgrade,Construct a better pickaxe,Stone Age,Have a stone pickaxe in your inventory.,story/upgrade_tools,-
,Acquire Hardware,Smelt an iron ingot,Getting an Upgrade,Have an iron ingot in your inventory.,story/smelt_iron,-
,Suit Up,Protect yourself with a piece of iron armor,Acquire Hardware,Have any type of iron armor in your inventory.,story/obtain_armor,-
,Hot Stuff,Fill a bucket with lava,Acquire Hardware,Have a lava bucket in your inventory.,story/lava_bucket,-
,Isn't It Iron Pick,Upgrade your pickaxe,Acquire Hardware,Have an iron pickaxe in your inventory.,story/iron_tools,-
,"Not Today, Thank You",Deflect a projectile with a shield,Suit Up,Deflect any projectile with a shield.,story/deflect_arrow,-
,Ice Bucket Challenge,Obtain a block of obsidian,Hot Stuff,Have a block of obsidian in your inventory.,story/form_obsidian,-
,Diamonds!,Acquire diamonds,Isn't It Iron Pick,Have a diamond in your inventory.,story/mine_diamond,-
,We Need to Go Deeper,"Build, light and enter a Nether Portal",Ice Bucket Challenge,Enter the Nether dimension.,story/enter_the_nether,-
,Cover Me With Diamonds,Diamond armor saves lives,Diamonds!,Have any type of diamond armor in your inventory.,story/shiny_gear,-
,Enchanter,Enchant an item at an Enchanting Table,Diamonds!,—,story/enchant_item,-
,Zombie Doctor,Weaken and then cure a Zombie Villager,We Need to Go Deeper,"Throw a splash potion of Weakness at a zombie villager, feed it a golden apple, and wait for it to be cured.",story/cure_zombie_villager,-
,Eye Spy,Follow an Eye of Ender,We Need to Go Deeper,Enter a stronghold.,story/follow_ender_eye,-
,The End?,Enter the End Portal,Eye Spy,Enter the End dimension.,story/enter_the_end,-
,Nether,Bring summer clothes,—,Enter the Nether dimension.,nether/root,—
,Return to Sender,Destroy a Ghast with a fireball,Nether,Kill a ghast using a ghast fireball.,nether/return_to_sender,50 experience
,Those Were the Days,Enter a Bastion Remnant,Nether,—,nether/find_bastion,—
,Hidden in the Depths,Obtain Ancient Debris,Nether,Have ancient debris in your inventory.,nether/obtain_ancient_debris,—
,Subspace Bubble,Use the Nether to travel 7 km in the Overworld,Nether,"Use the Nether to travel between 2 points in the Overworld with a minimum horizontal distance of 7000 blocks between each other, 875 blocks in the Nether.",nether/fast_travel,100 experience
,A Terrible Fortress,Break your way into a Nether Fortress,Nether,Enter a nether fortress.,nether/find_fortress,—
,Who is Cutting Onions?,Obtain Crying Obsidian,Nether,Have crying obsidian in your inventory.,nether/obtain_crying_obsidian,—
,Oh Shiny,Distract Piglins with gold,Nether,"Give a piglin one of these 22 gold-related items in the #piglin_loved entity tag while not wearing any golden armor. If this advancement is attempted while the player is wearing golden armor but piglin(s) are still aggressive toward them, the advancement does not trigger. Other gold-related items, if any, may be used, but are ignored for this advancement and by the piglin.",nether/distract_piglin,—
,This Boat Has Legs,Ride a Strider with a Warped Fungus on a Stick,Nether,Boost a strider with a warped fungus on a stick.,nether/ride_strider,—
,Uneasy Alliance,"Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it",Return to Sender,Kill a ghast while in the Overworld.,nether/uneasy_alliance,100 experience
,War Pigs,Loot a chest in a Bastion Remnant,Those Were the Days,Open a chest in a bastion remnant.,nether/loot_bastion,—
,"Country Lode, Take Me Home",Use a compass on Lodestone,Hidden in the Depths,Have a lodestone compass in your inventory.[verify],nether/use_lodestone,—
,Cover Me in Debris,Get a full suit of Netherite armor,Hidden in the Depths,Have a full set of netherite armor in your inventory.,nether/netherite_armor,100 experience
,Spooky Scary Skeleton,Obtain a Wither Skeleton's skull,A Terrible Fortress,Have a wither skeleton skull in your inventory.,nether/get_wither_skull,—
,Into Fire,Relieve a Blaze of its rod,A Terrible Fortress,Have a blaze rod in your inventory.,nether/obtain_blaze_rod,—
,"Not Quite ""Nine"" Lives",Charge a Respawn Anchor to the maximum,Who is Cutting Onions?,—,nether/charge_respawn_anchor,—
,Hot Tourist Destinations,Explore all Nether biomes,This Boat Has Legs,"Visit all of these 5 biomes. The advancement is only for Nether biomes. Other biomes, if any, may also be visited, but are ignored for this advancement.",nether/explore_nether,500 experience
,Withering Heights,Summon the Wither,Spooky Scary Skeleton,—,nether/summon_wither,—
,Local Brewery,Brew a potion,Into Fire,Pick up an item from a brewing stand potion slot. This does not need to be a potion. Water bottles or even glass bottles can also trigger this advancement.,nether/brew_potion,—
,Bring Home the Beacon,Construct and place a beacon,Withering Heights,Be within a 20×20×14 cuboid centered on a beacon block when it realizes it has become powered.,nether/create_beacon,—
,A Furious Cocktail,Have every potion effect applied at the same time,Local Brewery,"Have all of these 13 potion effects applied to the player at the same time. Beacon effects also count for the purposes of this advancement. Other potion effects, if any, may be applied to the player, but are ignored for this advancement.",nether/all_potions,100 experience
